Дата,Тикер,Прогноз
2024-01-15 23:35:03,INTC,47.73892211914063
2024-01-15 23:34:55,INTC,47.61040115356445
2024-01-15 23:34:43,AAPL,180.7133331298828
2024-01-15 23:34:35,NVDA,394.3284301757813
2024-01-15 23:34:19,AMD,140.39906311035156
2024-01-15 23:34:13,TSLA,230.043212890625
2024-01-15 23:34:06,AMZN,154.31698608398438
2024-01-15 23:33:49,NFLX,481.1428833007813
2024-01-15 23:32:22,AMD,136.236083984375
2024-01-15 23:31:12,GOOG,141.80218505859375
2024-01-15 23:28:34,DOCU,71.73847961425781
2024-01-15 23:25:55,GOOG,140.16555786132812
2024-01-15 23:23:59,CRM,264.3899230957031
2024-01-15 23:14:34,GOOG,142.5580291748047
2024-01-15 23:08:34,CSCO,50.46327590942383
2024-01-15 23:08:24,GOOG,141.80104064941406
2024-01-15 23:00:24,SMCI,316.3445129394531
2024-01-15 22:53:43,VZ,40.71357345581055
2024-01-15 22:52:26,AMZN,154.40013122558594
2024-01-15 22:50:55,CSCO,50.3853645324707
2024-01-15 22:48:21,GOOG,138.49923706054688
2024-01-15 22:31:24,MSTR,539.6699829101562
2024-01-15 22:28:07,SMCI,300.80047607421875
2024-01-15 22:24:30,IQ,6.245981216430664
2024-01-15 22:24:01,GOOG,137.97642517089844
2024-01-15 22:20:26,GOOG,141.1309814453125
2024-01-15 22:17:46,SMCI,255.03582763671875
2024-01-15 22:16:30,CSCO,50.52595901489258
2024-01-15 22:16:04,QCOM,139.5120849609375
2024-01-15 22:15:03,GOOG,140.32058715820312
2024-01-15 22:07:01,CRM,269.0694580078125
2024-01-15 21:51:38,GOOG,142.54580688476562
2024-01-15 21:47:43,GOOG,140.23916625976562
2024-01-15 00:15:04,TSLA,227.0190887451172
2024-01-15 00:07:51,AMD,142.2633819580078
2024-01-15 00:04:48,TSLA,227.4929656982422
2024-01-15 00:01:11,TSLA,233.5715789794922
2024-01-14 23:58:45,TSLA,226.54412841796875
2024-01-14 23:54:42,AMD,137.2958984375
2024-01-14 23:50:33,TSLA,232.60821533203125
2024-01-14 23:49:59,NFLX,486.9303588867188
2024-01-14 23:48:56,TSLA,230.39540100097656
2024-01-14 23:47:43,SMCI,287.22265625
2024-01-14 23:40:19,SMCI,240.968490600586
2024-01-14 23:37:47,NVDA,495.7423095703125
2024-01-14 23:37:13,AMD,138.50506591796875
2024-01-14 22:58:05,SMCI,290.5074768066406
2024-01-12 23:22:21,NFLX,482.4180603027344
2024-01-12 23:16:26,DBX,30.6710262298584
2024-01-12 23:12:27,EBAY,41.89056396484375
2024-01-12 22:52:29,GOOG,142.3581085205078
2024-01-12 22:29:52,CRM,259.80145263671875
2024-01-12 22:24:19,GOOG,142.8050994873047
2024-01-12 22:14:58,MSTR,507.1879577636719
2024-01-12 22:10:41,DBX,30.815279006958008
2024-01-12 22:06:11,NFLX,479.0115051269531
2024-01-12 21:54:27,CRM,256.93084716796875
2024-01-12 21:49:47,PYPL,61.67844772338867
2024-01-12 21:49:21,SMCI,337.5563049316406
2024-01-12 19:55:32,TSLA,227.659408569336
2024-01-12 17:56:44,PYPL,61.60210800170898
2024-01-12 17:56:11,DBX,30.433218002319336
2024-01-12 17:02:08,GOOG,143.11666870117188
2024-01-12 16:53:27,CRM,252.7971954345703
2024-01-12 16:52:22,AMD,140.14524841308594
2024-01-12 16:51:03,GOOG,142.82095336914062
2024-01-12 16:48:52,AMD,143.37582397460938
2024-01-12 16:46:09,TSLA,232.7996063232422
2024-01-12 16:43:25,TSLA,234.327392578125
2024-01-12 16:42:30,TSLA,233.1644744873047
2024-01-12 16:39:08,TSLA,234.29307556152344
2024-01-12 16:37:43,TSLA,233.42657470703125
2024-01-12 16:36:20,DBX,29.82718276977539
2024-01-12 16:36:11,AMZN,152.30557250976562
2024-01-12 16:35:59,TSLA,234.41079711914065
2024-01-12 16:34:05,TSLA,234.48716735839844
2024-01-12 16:31:10,CRM,252.7133026123047
2024-01-12 16:15:52,SMCI,338.7941589355469
2024-01-12 15:54:04,GOOG,143.29623413085938
2024-01-12 15:31:24,TSLA,233.6885223388672
2024-01-12 15:29:48,TSLA,233.4537811279297
2024-01-12 15:29:36,SAP,154.14727783203125
2024-01-12 15:22:05,NFLX,464.321044921875
2024-01-12 15:21:24,DBX,29.47035026550293
2024-01-11 23:15:33,GOOG,143.2037811279297
2024-01-11 23:15:27,GOOG,143.07919311523438
2024-01-11 23:12:32,ISRG,360.7582092285156
2024-01-11 23:12:28,ISRG,361.152099609375
2024-01-11 23:10:23,TSLA,233.540771484375
2024-01-11 23:06:57,GOOG,142.90611267089844
2024-01-11 23:03:33,CRM,254.13145446777344
2024-01-11 22:59:58,GOOG,143.69708251953125
2024-01-11 22:59:01,TSLA,234.9212646484375
2024-01-11 22:57:17,ORCL,104.25578308105467
2024-01-11 22:50:45,TSLA,234.3867645263672
2024-01-11 22:46:32,DOCU,56.34439086914063
2024-01-11 22:42:20,AMD,144.6429901123047
2024-01-11 22:41:35,AMD,144.17929077148438
2024-01-11 22:37:13,MSTR,544.1611328125
2024-01-11 22:32:21,CSCO,50.194095611572266
